10	-1.541035e+00	-9.908609e-04	0.000000e+00
20	-3.860018e-01	-6.203492e-05	0.000000e+00
40	-9.654698e-02	-3.878841e-06	1.421085e-14
80	-2.413966e-02	-2.424535e-07	1.421085e-14
160	-6.035096e-03	-1.515373e-08	2.842171e-14
320	-1.508785e-03	-9.471250e-10	0.000000e+00
640	-3.771970e-04	-5.921663e-11	2.842171e-14
1280	-9.429930e-05	-3.652190e-12	-2.842171e-14
2560	-2.357483e-05	-1.847411e-13	2.842171e-14
5120	-5.893707e-06	-4.263256e-14	-2.842171e-14
10240	-1.473427e-06	1.705303e-13	1.705303e-13
20480	-3.683565e-07	-4.263256e-14	-4.263256e-14
40960	-9.208941e-08	3.552714e-13	3.552714e-13
81920	-2.302234e-08	-4.263256e-14	-2.842171e-14
